Enabled,URL,Id,"Value Type",Format,"Initial Value",Expression
,,berMaterialFilter,enum,,,
,,DevtType,enum,,,
,,berPhaseInOut,enum,,,
,,berCurrency,enum,,,
,,berLanguage,enum,,,
,,berMarket,enum,,,
,,berProductCategory,enum,,,
,,berTypeOfShooting,enum,,,
,,berCBStyleType,enum,,,
,,berCarryOver,enum,,,
,,berLayer,enum,,,
,,berIdealFor,enum,,,
,,CustomCollectionBackgroundColor,enum,,,
,,berGender,enum,,,
false,"centric://REFLECTION/BusinessObject/Style Attributes",berMSRP_Rus,double,,0.0,
true,"centric://REFLECTION/BusinessObject/Style Attributes",berLayer,enum,,berLayer:,
true,"centric://REFLECTION/BusinessObject/Style Attributes",berProductCategory,enum,,berProductCategory:,
false,"centric://REFLECTION/BusinessObject/Style Attributes",berCallout_Ita,string,Textarea,,
true,"centric://REFLECTION/BusinessObject/Style Attributes",berCallout,stringmap,LocalizedTextarea,,
false,"centric://REFLECTION/BusinessObject/Style Attributes",berCallout_Fre,string,Textarea,,
false,"centric://REFLECTION/BusinessObject/Style Attributes",berProductCare_Eng,string,Textarea,,
true,"centric://REFLECTION/BusinessObject/Style Attributes",berWeight,string,,,
true,"centric://REFLECTION/BusinessObject/Style Attributes",berDisplaySequence,integer,,0,
false,"centric://REFLECTION/BusinessObject/Style Attributes",berWSP_Ger,double,,0.0,
false,"centric://REFLECTION/BusinessObject/Style Attributes",berMSRP_Fre,double,,0.0,
false,"centric://REFLECTION/BusinessObject/Style Attributes",berDimensions_Eng,string,,,
false,"centric://REFLECTION/BusinessObject/Style Attributes",berDimensions_Fre,string,,,
false,"centric://REFLECTION/BusinessObject/Style Attributes",berDimensions_Ger,string,,,
false,"centric://REFLECTION/BusinessObject/Style Attributes",berWSP_Fre,double,,0.0,
true,"centric://REFLECTION/BusinessObject/Style Attributes",berNotes,stringmap,LocalizedTextarea,,
true,"centric://REFLECTION/BusinessObject/Style Attributes",berProductCare,stringmap,LocalizedTextarea,,
true,"centric://REFLECTION/BusinessObject/Style Attributes",berDimensions,stringmap,Localized,,
true,"centric://REFLECTION/BusinessObject/Style Attributes",berMSRP_Eng,double,,0.0,
false,"centric://REFLECTION/BusinessObject/Style Attributes",berProductCare_Ita,string,Textarea,,
false,"centric://REFLECTION/BusinessObject/Style Attributes",berDimensions_Rus,string,,,
false,"centric://REFLECTION/BusinessObject/Style Attributes",berProductCare_Fre,string,Textarea,,
false,"centric://REFLECTION/BusinessObject/Style Attributes",berMSRP_Ger,double,,0.0,
true,"centric://REFLECTION/BusinessObject/Style Attributes",berHasSizes,boolean,,false,
false,"centric://REFLECTION/BusinessObject/Style Attributes",berDescription_Rus,string,Textarea,,
false,"centric://REFLECTION/BusinessObject/Style Attributes",berDimensions_Ita,string,,,
false,"centric://REFLECTION/BusinessObject/Style Attributes",berProductCare_Rus,string,Textarea,,
false,"centric://REFLECTION/BusinessObject/Style Attributes",berCallout_Eng,string,Textarea,,
false,"centric://REFLECTION/BusinessObject/Style Attributes",berCallout_Rus,string,Textarea,,
true,"centric://REFLECTION/BusinessObject/Style Attributes",berCarryOver,enum,,berCarryOver:New,
false,"centric://REFLECTION/BusinessObject/Style Attributes",berNotes_Ger,string,Textarea,,
true,"centric://REFLECTION/BusinessObject/Style Attributes",berDisplayOrder,integer,,0,
false,"centric://REFLECTION/BusinessObject/Style Attributes",berDescription_Ger,string,Textarea,,
true,"centric://REFLECTION/BusinessObject/Style Attributes",berPiecesPerBox,integer,,0,
false,"centric://REFLECTION/BusinessObject/Style Attributes",berNotes_Ita,string,Textarea,,
true,"centric://REFLECTION/BusinessObject/Style Attributes",berGender,enum,,berGender:,
false,"centric://REFLECTION/BusinessObject/Style Attributes",berWSP_Rus,double,,0.0,
false,"centric://REFLECTION/BusinessObject/Style Attributes",berDescription_Eng,string,Textarea,,
false,"centric://REFLECTION/BusinessObject/Style Attributes",berDescription_Fre,string,Textarea,,
true,"centric://REFLECTION/BusinessObject/Style Attributes",berPhaseInOut,enum,,berPhaseInOut:,
true,"centric://REFLECTION/BusinessObject/Style Attributes",berWSP_Eng,double,,0.0,
false,"centric://REFLECTION/BusinessObject/Style Attributes",berNotes_Fre,string,Textarea,,
false,"centric://REFLECTION/BusinessObject/Style Attributes",berNotes_Rus,string,Textarea,,
true,"centric://REFLECTION/BusinessObject/Style Attributes",berIdealFor,enum,,berIdealFor:,
true,"centric://REFLECTION/BusinessObject/Style Attributes",berCaliber,string,,,
false,"centric://REFLECTION/BusinessObject/Style Attributes",berCallout_Ger,string,Textarea,,
true,"centric://REFLECTION/BusinessObject/Style Attributes",berMSRP_Ita,double,,0.0,
true,"centric://REFLECTION/BusinessObject/Style Attributes",berDescription,stringmap,LocalizedTextarea,,
true,"centric://REFLECTION/BusinessObject/Style Attributes",berWSP_Ita,double,,0.0,
true,"centric://REFLECTION/BusinessObject/Style Attributes",berTypeOfShooting,enum,,berTypeOfShooting:,
false,"centric://REFLECTION/BusinessObject/Style Attributes",berNotes_Eng,string,Textarea,,
false,"centric://REFLECTION/BusinessObject/Style Attributes",berDescription_Ita,string,Textarea,,
false,"centric://REFLECTION/BusinessObject/Style Attributes",berProductCare_Ger,string,Textarea,,
true,"centric://REFLECTION/BusinessObject/Hierarchy Attributes, Brand",berDisplaySequence,integer,,0,
true,"centric://REFLECTION/BusinessObject/Sales Order",SuggestedBuyerShipTo,string,Textarea,,
true,"centric://REFLECTION/BusinessObject/Sales Order",SuggestedBuyerVATCode,string,,,
true,"centric://REFLECTION/BusinessObject/Sales Order",SuggestedBuyerBillTo,string,Textarea,,
true,"centric://REFLECTION/BusinessObject/Sales Order",Delivery,string,,,
true,"centric://REFLECTION/BusinessObject/Sales Order",SuggestedBuyer,string,,,
true,"centric://REFLECTION/BusinessObject/Sales Order",Notes,string,Textarea,,
true,"centric://REFLECTION/BusinessObject/Sales Order",suggestedPaymentTerm,string,,,
true,"centric://REFLECTION/BusinessObject/Sales Order",SalesOrderNote,string,Textarea,,
false,"centric://REFLECTION/BusinessObject/Material Attributes",berDescription_Eng,string,,,
false,"centric://REFLECTION/BusinessObject/Material Attributes",berDescription_Fre,string,,,
false,"centric://REFLECTION/BusinessObject/Material Attributes",berComposition,string,,,
